   7.70000,  31.02865,  31.06745,  30.98955,  30.67106,  30.10499
   7.80000,  31.04130,  31.08000,  31.00208,  30.68271,  30.10838
   7.90000,  31.05391,  31.09251,  31.01458,  30.69436,  30.11181
   8.00000,  31.06649,  31.10499,  31.02704,  30.70602,  30.11530
   8.10000,  31.07904,  31.11743,  31.03948,  30.71769,  30.11884
   8.20000,  31.09155,  31.12983,  31.05189,  30.72935,  30.12242
   8.30000,  31.10403,  31.14220,  31.06426,  30.74102,  30.12606
   8.40000,  31.11647,  31.15452,  31.07661,  30.75268,  30.12974
   8.50000,  31.12887,  31.16681,  31.08892,  30.76435,  30.13348
   8.60000,  31.14123,  31.17905,  31.10119,  30.77601,  30.13726
   8.70000,  31.15356,  31.19126,  31.11343,  30.78767,  30.14109
   8.80000,  31.16584,  31.20342,  31.12563,  30.79932,  30.14497
   8.90000,  31.17808,  31.21554,  31.13780,  30.81096,  30.14890
   9.00000,  31.19029,  31.22761,  31.14993,  30.82260,  30.15288
   9.10000,  31.20245,  31.23964,  31.16202,  30.83423,  30.15690
   9.20000,  31.21456,  31.25163,  31.17407,  30.84585,  30.16097
   9.30000,  31.22664,  31.26357,  31.18609,  30.85746,  30.16508
   9.40000,  31.23867,  31.27546,  31.19806,  30.86905,  30.16924
   9.50000,  31.25066,  31.28731,  31.20999,  30.88064,  30.17345
   9.60000,  31.26260,  31.29912,  31.22188,  30.89221,  30.17770
   9.70000,  31.27449,  31.31087,  31.23373,  30.90377,  30.18200
   9.80000,  31.28634,  31.32258,  31.24554,  30.91531,  30.18634
   9.90000,  31.29814,  31.33423,  31.25730,  30.92683,  30.19073
  10.00000,  31.30990,  31.34584,  31.26902,  30.93834,  30.19516
  10.10000,  31.32161,  31.35740,  31.28069,  30.94983,  30.19963
  10.20000,  31.33326,  31.36891,  31.29232,  30.96130,  30.20415
  10.30000,  31.34487,  31.38037,  31.30390,  30.97274,  30.20871
  10.40000,  31.35644,  31.39178,  31.31544,  30.98417,  30.21331
  10.50000,  31.36795,  31.40314,  31.32693,  30.99558,  30.21795
  10.60000,  31.37941,  31.41445,  31.33838,  31.00696,  30.22264
  10.70000,  31.39082,  31.42571,  31.34977,  31.01832,  30.22737
  10.80000,  31.40218,  31.43691,  31.36112,  31.02966,  30.23213
  10.90000,  31.41349,  31.44806,  31.37242,  31.04097,  30.23694
  11.00000,  31.42475,  31.45916,  31.38368,  31.05226,  30.24179
  11.10000,  31.43595,  31.47021,  31.39488,  31.06351,  30.24668
  11.20000,  31.44711,  31.48121,  31.40604,  31.07475,  30.25160
  11.30000,  31.45821,  31.49215,  31.41714,  31.08595,  30.25657
  11.40000,  31.46926,  31.50304,  31.42820,  31.09713,  30.26157
